WHOREGION,FLUSEASON,HEMISPHERE,ITZ,COUNTRY_CODE,COUNTRY_AREA_TERRITORY,ISO_WEEKSTARTDATE,ISO_YEAR,ISO_WEEK,MMWR_WEEKSTARTDATE,MMWR_YEAR,MMWR_WEEK,ORIGIN_SOURCE,SPEC_PROCESSED_NB,SPEC_RECEIVED_NB,AH1N12009,AH1,AH3,AH5,AH7N9,ANOTSUBTYPED,ANOTSUBTYPABLE,AOTHER_SUBTYPE,AOTHER_SUBTYPE_DETAILS,INF_A,BVIC_2DEL,BVIC_3DEL,BVIC_NODEL,BVIC_DELUNK,BYAM,BNOTDETERMINED,INF_B,INF_ALL,INF_NEGATIVE,ILI_ACTIVITY,ADENO,BOCA,HUMAN_CORONA,METAPNEUMO,PARAINFLUENZA,RHINO,RSV,OTHERRESPVIRUS,OTHER_RESPVIRUS_DETAILS,LAB_RESULT_COMMENT,WCR_COMMENT,ISO2,ISOYW,MMWRYW
EUR,NH,NH,FLU_SW_EUR,BEL,Belgium,06-06-16,2016,23,05-06-16,2016,23,NONSENTINEL,0,,0,0,0,,,0,,,,0,,,0,,0,0,0,,,,,,,,,,0,,,,,BE,201623,201623
EUR,NH,NH,FLU_SW_EUR,BEL,Belgium,26-02-01,2001,9,25-02-01,2001,9,NOTDEFINED,,,,,,,,0,,,,0,,,,,,3,3,3,,3,,,,,,,,,,,sporadic B isolates,BE,200109,200109
EUR,NH,NH,FLU_SW_EUR,BEL,Belgium,12-12-22,2022,50,11-12-22,2022,50,SENTINEL,39,,1,,5,,,,,,,6,,,6,,,,6,12,,,,,,,,,6,,,,,BE,202250,202250
EUR,NH,NH,FLU_SW_EUR,BEL,Belgium,15-06-15,2015,25,14-06-15,2015,24,SENTINEL,0,,0,0,0,,,0,,,,0,,,0,,0,0,0,,,,,,,,,,0,,,,,BE,201525,201524
EUR,NH,NH,FLU_SW_EUR,BEL,Belgium,23-11-20,2020,48,22-11-20,2020,48,SENTINEL,0,,,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,BE,202048,202048
EUR,NH,NH,FLU_SW_EUR,BEL,Belgium,24-11-14,2014,48,23-11-14,2014,48,NONSENTINEL,0,,0,0,0,,,0,,,,0,,,0,,0,0,0,,,,,,,,,,0,,,,,BE,201448,201448
EUR,NH,NH,FLU_SW_EUR,BEL,Belgium,11-08-08,2008,33,10-08-08,2008,33,NOTDEFINED,0,,,,,,,0,,,,0,,,,,,0,0,,,2,,,,,,,,,,,,BE,200833,200833
EUR,NH,NH,FLU_SW_EUR,BEL,Belgium,29-06-15,2015,27,28-06-15,2015,26,NONSENTINEL,0,,0,0,0,,,0,,,,0,,,0,,0,0,0,,,,,,,,,,0,,,,,BE,201527,201526
EUR,NH,NH,FLU_SW_EUR,BEL,Belgium,06-10-14,2014,41,05-10-14,2014,41,SENTINEL,12,,0,0,1,,,0,,,,1,,,0,,0,0,0,1,,,,,,,,,0,,,,,BE,201441,201441
EUR,NH,NH,FLU_SW_EUR,BEL,Belgium,05-05-14,2014,19,04-05-14,2014,19,NONSENTINEL,0,,0,0,0,,,0,,,,0,,,0,,0,0,0,,,,,,,,,,0,,,,,BE,201419,201419
EUR,NH,NH,FLU_SW_EUR,BEL,Belgium,11-01-16,2016,2,10-01-16,2016,2,NONSENTINEL,0,,0,0,0,,,0,,,,0,,,0,,0,0,0,,,,,,,,,,0,,,,,BE,201602,201602
EUR,NH,NH,FLU_SW_EUR,BEL,Belgium,15-08-22,2022,33,14-08-22,2022,33,NONSENTINEL,,,,,,,,,,,,0,,,,,,,0,,,,,,,,,,11,,,,,BE,202233,202233
EUR,NH,NH,FLU_SW_EUR,BEL,Belgium,21-07-14,2014,30,20-07-14,2014,30,SENTINEL,0,,0,0,0,,,0,,,,0,,,0,,0,0,0,,,,,,,,,,0,,,,,BE,201430,201430
EUR,NH,NH,FLU_SW_EUR,BEL,Belgium,12-11-18,2018,46,11-11-18,2018,46,NONSENTINEL,0,,0,0,0,,,0,,,,0,,,0,,0,0,0,,,,,,,,,,0,,,,,BE,201846,201846
EUR,NH,NH,FLU_SW_EUR,BEL,Belgium,13-04-20,2020,16,12-04-20,2020,16,NONSENTINEL,,,,,,,,,,,,0,,,,,,,0,,,,,,,,,,1,,,,,BE,202016,202016
EUR,NH,NH,FLU_SW_EUR,BEL,Belgium,31-07-23,2023,31,30-07-23,2023,31,SENTINEL,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE,202331,202331
EUR,NH,NH,FLU_SW_EUR,BEL,Belgium,28-10-13,2013,44,27-10-13,2013,44,NONSENTINEL,0,,0,0,0,,,0,,,,0,,,0,,0,0,0,,,,,,,,,,0,,,,,BE,201344,201344
EUR,NH,NH,FLU_SW_EUR,BEL,Belgium,23-06-14,2014,26,22-06-14,2014,26,SENTINEL,2,,0,0,0,,,0,,,,0,,,0,,0,0,0,,,,,,,,,,0,,,,,BE,201426,201426
EUR,NH,NH,FLU_SW_EUR,BEL,Belgium,27-12-99,1999,52,26-12-99,1999,52,NOTDEFINED,,,,,,,,96,,,,96,,,,,,,,96,,5,,,,,,,,,,,"The number of influenzalike illness seem to have reached the maximum level, while the percentage of consultations related to acute respiratory infections is decreasing slightly.  ",BE,199952,199952
EUR,NH,NH,FLU_SW_EUR,BEL,Belgium,15-09-14,2014,38,14-09-14,2014,38,NONSENTINEL,0,,0,0,0,,,0,,,,0,,,0,,0,0,0,,,,,,,,,,0,,,,,BE,201438,201438
EUR,NH,NH,FLU_SW_EUR,BEL,Belgium,10-08-20,2020,33,09-08-20,2020,33,SENTINEL,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE,202033,202033
EUR,NH,NH,FLU_SW_EUR,BEL,Belgium,02-05-16,2016,18,01-05-16,2016,18,NONSENTINEL,0,,0,0,0,,,0,,,,0,,,0,,0,0,0,,,,,,,,,,0,,,,,BE,201618,201618
EUR,NH,NH,FLU_SW_EUR,BEL,Belgium,26-10-98,1998,44,25-10-98,1998,43,NOTDEFINED,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,BE,199844,199843
EUR,NH,NH,FLU_SW_EUR,BEL,Belgium,07-05-18,2018,19,06-05-18,2018,19,NONSENTINEL,0,,0,0,0,,,0,,,,0,,,0,,0,0,0,,,,,,,,,,0,,,,,BE,201819,201819
EUR,NH,NH,FLU_SW_EUR,BEL,Belgium,18-10-04,2004,43,17-10-04,2004,42,NOTDEFINED,3,,,0,0,,,0,,,,0,,,,,,0,0,,,2,,,,,,,,,,,,BE,200443,200442
EUR,NH,NH,FLU_SW_EUR,BEL,Belgium,04-01-16,2016,1,03-01-16,2016,1,SENTINEL,22,,2,0,0,,,1,,,,3,,,5,,0,0,5,8,,,,,,,,,0,,,,,BE,201601,201601
EUR,NH,NH,FLU_SW_EUR,BEL,Belgium,08-01-01,2001,2,07-01-01,2001,2,NOTDEFINED,86,,,,,,,18,,,,18,,,,,,1,1,19,,4,,,,,,,,,,,"local outbreak due to influenza A, 1 influenza B virus was also isolated",BE,200102,200102
EUR,NH,NH,FLU_SW_EUR,BEL,Belgium,22-10-07,2007,43,21-10-07,2007,43,NOTDEFINED,,,,0,0,,,0,,,,0,,,,,,0,0,,,2,,,,,,,,,,,,BE,200743,200743
EUR,NH,NH,FLU_SW_EUR,BEL,Belgium,30-05-16,2016,22,29-05-16,2016,22,NONSENTINEL,0,,0,0,0,,,0,,,,0,,,0,,0,0,0,,,,,,,,,,0,,,,,BE,201622,201622
EUR,NH,NH,FLU_SW_EUR,BEL,Belgium,02-01-23,2023,1,01-01-23,2023,1,NONSENTINEL,,,,,,,,,,,,0,,,,,,,0,,,,,,,,,,785,,,,,BE,202301,202301
EUR,NH,NH,FLU_SW_EUR,BEL,Belgium,08-02-10,2010,6,07-02-10,2010,6,NOTDEFINED,,27,3,0,0,0,,1,,0,,4,,,0,,0,0,0,4,,4,,,,,,,,,,,,BE,201006,201006
EUR,NH,NH,FLU_SW_EUR,BEL,Belgium,02-11-09,2009,45,01-11-09,2009,45,NOTDEFINED,,257,150,0,0,0,,31,,0,,181,,,0,,0,0,0,181,,5,,,,,,,,,,,,BE,200945,200945
EUR,NH,NH,FLU_SW_EUR,BEL,Belgium,21-12-98,1998,52,20-12-98,1998,51,NOTDEFINED,,,,,,,,13,,,,13,,,,,,37,37,50,,4,,,,,,,,,,,"Isolates include week 8A, 21B
and week 1: 5A, 16B
Influenza-like illness increasing with local outbreaks across the country.  Influenza A viruses are now detected inin the sentinel practices.",BE,199852,199851
EUR,NH,NH,FLU_SW_EUR,BEL,Belgium,15-05-23,2023,20,14-05-23,2023,20,SENTINEL,2,,,,,,,0,,,,0,,,,,,0,0,,,,,,,,,,0,,,,,BE,202320,202320
EUR,NH,NH,FLU_SW_EUR,BEL,Belgium,04-12-23,2023,49,03-12-23,2023,49,SENTINEL,40,,3,,2,,,1,,,,6,,,,,,,0,6,,,,,,,,,5,,,,,BE,202349,202349
EUR,NH,NH,FLU_SW_EUR,BEL,Belgium,05-02-24,2024,6,04-02-24,2024,6,SENTINEL,37,,10,,4,,,,,,,14,,,,,,,0,14,,,,,,,,,1,,,,,BE,202406,202406
EUR,NH,NH,FLU_SW_EUR,BEL,Belgium,03-07-23,2023,27,02-07-23,2023,27,NONSENTINEL,,,,,,,,,,,,0,,,,,,,0,,,,,,,,,,57,,,,,BE,202327,202327
EUR,NH,NH,FLU_SW_EUR,BEL,Belgium,29-11-21,2021,48,28-11-21,2021,48,SENTINEL,15,,,0,0,,,,,,,0,,,0,,0,,0,,,,,,,,,,3,,,,,BE,202148,202148
EUR,NH,NH,FLU_SW_EUR,BEL,Belgium,03-02-97,1997,6,02-02-97,1997,6,NOTDEFINED,,,,,,,,35,,,,35,,,,,,10,10,45,,1,,,,,,,,,,,Influenza (total) given as 47?,BE,199706,199706
EUR,NH,NH,FLU_SW_EUR,BEL,Belgium,17-11-03,2003,47,16-11-03,2003,47,NOTDEFINED,152,,,,57,,,1,,,,58,,,,,,,,58,,6,,,,,,,,,,,5.7% of ILI,BE,200347,200347
EUR,NH,NH,FLU_SW_EUR,BEL,Belgium,01-09-14,2014,36,31-08-14,2014,36,NONSENTINEL,0,,0,0,0,,,0,,,,0,,,0,,0,0,0,,,,,,,,,,0,,,,,BE,201436,201436
EUR,NH,NH,FLU_SW_EUR,BEL,Belgium,16-08-21,2021,33,15-08-21,2021,33,NONSENTINEL,,,,,,,,,,,,0,,,,,,,0,,,,,,,,,,7,,,,,BE,202133,202133
EUR,NH,NH,FLU_SW_EUR,BEL,Belgium,08-03-04,2004,11,07-03-04,2004,10,NOTDEFINED,3,,,0,0,,,0,,,,0,,,,,,0,0,,,2,,,,,,,,,,,,BE,200411,200410
EUR,NH,NH,FLU_SW_EUR,BEL,Belgium,15-05-17,2017,20,14-05-17,2017,20,SENTINEL,1,,0,0,0,,,0,,,,0,,,0,,0,0,0,,,,,,,,,,0,,,,,BE,201720,201720
EUR,NH,NH,FLU_SW_EUR,BEL,Belgium,03-12-18,2018,49,02-12-18,2018,49,NONSENTINEL,0,,0,0,0,,,0,,,,0,,,0,,0,0,0,,,,,,,,,,0,,,,,BE,201849,201849
EUR,NH,NH,FLU_SW_EUR,BEL,Belgium,13-10-14,2014,42,12-10-14,2014,42,NONSENTINEL,0,,0,0,0,,,0,,,,0,,,0,,0,0,0,,,,,,,,,,0,,,,,BE,201442,201442
EUR,NH,NH,FLU_SW_EUR,BEL,Belgium,03-07-23,2023,27,02-07-23,2023,27,SENTINEL,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE,202327,202327
EUR,NH,NH,FLU_SW_EUR,BEL,Belgium,28-10-19,2019,44,27-10-19,2019,44,SENTINEL,2,,0,0,0,,,0,,,,0,,,0,,0,0,0,,,,,,,,,,0,,,,,BE,201944,201944
EUR,NH,NH,FLU_SW_EUR,BEL,Belgium,12-06-17,2017,24,11-06-17,2017,24,SENTINEL,0,,0,0,0,,,0,,,,0,,,0,,0,0,0,,,,,,,,,,0,,,,,BE,201724,201724
EUR,NH,NH,FLU_SW_EUR,BEL,Belgium,10-04-23,2023,15,09-04-23,2023,15,NONSENTINEL,,,,,,,,,,,,0,,,,,,,0,,,,,,,,,,67,,,,,BE,202315,202315
EUR,NH,NH,FLU_SW_EUR,BEL,Belgium,18-01-10,2010,3,17-01-10,2010,3,NOTDEFINED,,40,5,0,0,0,,1,,0,,6,,,0,,0,0,0,6,,4,,,,,,,,,,,,BE,201003,201003
EUR,NH,NH,FLU_SW_EUR,BEL,Belgium,25-01-21,2021,4,24-01-21,2021,4,SENTINEL,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE,202104,202104
EUR,NH,NH,FLU_SW_EUR,BEL,Belgium,16-12-13,2013,51,15-12-13,2013,51,NONSENTINEL,0,,0,0,0,,,0,,,,0,,,0,,0,0,0,,,,,,,,,,0,,,,,BE,201351,201351
EUR,NH,NH,FLU_SW_EUR,BEL,Belgium,08-12-97,1997,50,07-12-97,1997,50,NOTDEFINED,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,BE,199750,199750
EUR,NH,NH,FLU_SW_EUR,BEL,Belgium,29-05-17,2017,22,28-05-17,2017,22,SENTINEL,0,,0,0,0,,,0,,,,0,,,0,,0,0,0,,,,,,,,,,0,,,,,BE,201722,201722
EUR,NH,NH,FLU_SW_EUR,BEL,Belgium,03-12-12,2012,49,02-12-12,2012,49,NOTDEFINED,28,,3,0,0,,,0,,,,3,,,0,,5,0,5,8,,3,,,,,,,,,RSV,,,BE,201249,201249
EUR,NH,NH,FLU_SW_EUR,BEL,Belgium,10-12-18,2018,50,09-12-18,2018,50,SENTINEL,20,,0,0,0,,,0,,,,0,,,0,,0,0,0,,,,,,,,,,0,,,,,BE,201850,201850
EUR,NH,NH,FLU_SW_EUR,BEL,Belgium,02-05-11,2011,18,01-05-11,2011,18,NOTDEFINED,5,,0,0,0,,,0,,,,0,,,0,,0,0,0,,,2,,,,,,,,,RSV,,,BE,201118,201118
EUR,NH,NH,FLU_SW_EUR,BEL,Belgium,29-03-21,2021,13,28-03-21,2021,13,NONSENTINEL,,,,,,,,,,,,0,,,,,,,0,,,,,,,,,,379,,,,,BE,202113,202113
EUR,NH,NH,FLU_SW_EUR,BEL,Belgium,27-05-24,2024,22,26-05-24,2024,22,SENTINEL,7,,,,,,,0,,,,0,,,,,,0,0,,,,,,,,,,0,,,,,BE,202422,202422
EUR,NH,NH,FLU_SW_EUR,BEL,Belgium,03-07-17,2017,27,02-07-17,2017,27,SENTINEL,0,,0,0,0,,,0,,,,0,,,0,,0,0,0,,,,,,,,,,0,,,,,BE,201727,201727
EUR,NH,NH,FLU_SW_EUR,BEL,Belgium,26-02-24,2024,9,25-02-24,2024,9,NONSENTINEL,,,,,,,,,,,,0,,,,,,,0,,,,,,,,,,58,,,,,BE,202409,202409
EUR,NH,NH,FLU_SW_EUR,BEL,Belgium,19-12-16,2016,51,18-12-16,2016,51,NONSENTINEL,1,,0,0,1,,,0,,,,1,,,0,,0,0,0,1,,,,,,,,,0,,,,,BE,201651,201651
EUR,NH,NH,FLU_SW_EUR,BEL,Belgium,06-04-20,2020,15,05-04-20,2020,15,NONSENTINEL,,,,,,,,,,,,0,,,,,,,0,,,,,,,,,,3,,,,,BE,202015,202015
EUR,NH,NH,FLU_SW_EUR,BEL,Belgium,05-11-18,2018,45,04-11-18,2018,45,NONSENTINEL,0,,0,0,0,,,0,,,,0,,,0,,0,0,0,,,,,,,,,,0,,,,,BE,201845,201845
EUR,NH,NH,FLU_SW_EUR,BEL,Belgium,24-08-15,2015,35,23-08-15,2015,34,SENTINEL,0,,0,0,0,,,0,,,,0,,,0,,0,0,0,,,,,,,,,,0,,,,,BE,201535,201534
EUR,NH,NH,FLU_SW_EUR,BEL,Belgium,03-08-15,2015,32,02-08-15,2015,31,SENTINEL,0,,0,0,0,,,0,,,,0,,,0,,0,0,0,,,,,,,,,,0,,,,,BE,201532,201531
EUR,NH,NH,FLU_SW_EUR,BEL,Belgium,08-04-13,2013,15,07-04-13,2013,15,NOTDEFINED,13,,1,0,4,,,1,,,,6,,,0,,1,0,1,7,,3,,,,,,,,,RSV,,,BE,201315,201315
EUR,NH,NH,FLU_SW_EUR,BEL,Belgium,18-07-16,2016,29,17-07-16,2016,29,SENTINEL,0,,0,0,0,,,0,,,,0,,,0,,0,0,0,,,,,,,,,,0,,,,,BE,201629,201629
EUR,NH,NH,FLU_SW_EUR,BEL,Belgium,30-04-18,2018,18,29-04-18,2018,18,NONSENTINEL,0,,0,0,0,,,0,,,,0,,,0,,0,0,0,,,,,,,,,,0,,,,,BE,201818,201818
EUR,NH,NH,FLU_SW_EUR,BEL,Belgium,22-04-13,2013,17,21-04-13,2013,17,NOTDEFINED,5,,0,0,0,,,0,,,,0,,,0,,0,0,0,,,1,,,,,,,,,RSV,,,BE,201317,201317
EUR,NH,NH,FLU_SW_EUR,BEL,Belgium,18-01-21,2021,3,17-01-21,2021,3,NONSENTINEL,,,,,,,,,,,,0,,,,,,,0,,,,,,,,,,22,,,,,BE,202103,202103
EUR,NH,NH,FLU_SW_EUR,BEL,Belgium,16-03-15,2015,12,15-03-15,2015,11,NONSENTINEL,0,,0,0,0,,,0,,,,0,,,0,,0,0,0,,,,,,,,,,0,,,,,BE,201512,201511
EUR,NH,NH,FLU_SW_EUR,BEL,Belgium,18-03-24,2024,12,17-03-24,2024,12,NONSENTINEL,,,,,,,,,,,,0,,,,,,,0,,,,,,,,,,47,,,,,BE,202412,202412
EUR,NH,NH,FLU_SW_EUR,BEL,Belgium,28-01-13,2013,5,27-01-13,2013,5,NOTDEFINED,147,,54,0,8,,,3,,,,65,,,0,,0,45,45,110,,6,,,,,,,,,RSV,,,BE,201305,201305
EUR,NH,NH,FLU_SW_EUR,BEL,Belgium,23-10-23,2023,43,22-10-23,2023,43,SENTINEL,11,,,,,,,0,,,,0,,,,,,0,0,,,,,,,,,,1,,,,,BE,202343,202343
EUR,NH,NH,FLU_SW_EUR,BEL,Belgium,04-04-16,2016,14,03-04-16,2016,14,SENTINEL,13,,2,0,0,,,0,,,,2,,,3,,0,0,3,5,,,,,,,,,0,,,,,BE,201614,201614
EUR,NH,NH,FLU_SW_EUR,BEL,Belgium,07-01-08,2008,2,06-01-08,2008,2,NOTDEFINED,,,,24,0,,,19,,,,43,,,,,,10,10,53,,5,,,,,,,,,,,,BE,200802,200802
EUR,NH,NH,FLU_SW_EUR,BEL,Belgium,24-09-07,2007,39,23-09-07,2007,39,NOTDEFINED,,,,0,0,,,0,,,,0,,,,,,0,0,,,2,,,,,,,,,,,0.97%ILI,BE,200739,200739
EUR,NH,NH,FLU_SW_EUR,BEL,Belgium,21-08-23,2023,34,20-08-23,2023,34,NONSENTINEL,1,,1,,0,,,,,,,1,,,0,,0,,0,1,,,,,,,,,0,,,,,BE,202334,202334
EUR,NH,NH,FLU_SW_EUR,BEL,Belgium,17-01-00,2000,3,16-01-00,2000,3,NOTDEFINED,,,,,,,,32,,,,32,,,,,,,,32,,5,,,,,,,,,,,Continued decline in ILI consultations.,BE,200003,200003
EUR,NH,NH,FLU_SW_EUR,BEL,Belgium,03-02-14,2014,6,02-02-14,2014,6,NONSENTINEL,1,,0,0,0,,,0,,,,0,,,0,,0,0,0,,,,,,,,,,0,,,,,BE,201406,201406
EUR,NH,NH,FLU_SW_EUR,BEL,Belgium,24-04-23,2023,17,23-04-23,2023,17,NONSENTINEL,,,,,,,,,,,,0,,,,,,,0,,,,,,,,,,48,,,,,BE,202317,202317
