WHOREGION,FLUSEASON,HEMISPHERE,ITZ,COUNTRY_CODE,COUNTRY_AREA_TERRITORY,ISO_WEEKSTARTDATE,ISO_YEAR,ISO_WEEK,MMWR_WEEKSTARTDATE,MMWR_YEAR,MMWR_WEEK,ORIGIN_SOURCE,SPEC_PROCESSED_NB,SPEC_RECEIVED_NB,AH1N12009,AH1,AH3,AH5,AH7N9,ANOTSUBTYPED,ANOTSUBTYPABLE,AOTHER_SUBTYPE,AOTHER_SUBTYPE_DETAILS,INF_A,BVIC_2DEL,BVIC_3DEL,BVIC_NODEL,BVIC_DELUNK,BYAM,BNOTDETERMINED,INF_B,INF_ALL,INF_NEGATIVE,ILI_ACTIVITY,ADENO,BOCA,HUMAN_CORONA,METAPNEUMO,PARAINFLUENZA,RHINO,RSV,OTHERRESPVIRUS,OTHER_RESPVIRUS_DETAILS,LAB_RESULT_COMMENT,WCR_COMMENT,ISO2,ISOYW,MMWRYW
EUR,NH,NH,FLU_SW_EUR,DEU,Germany,04-01-16,2016,1,03-01-16,2016,1,NONSENTINEL,0,,3,0,0,,,0,,,,3,,,0,,0,0,0,3,,,,,,,,,2,,,,,DE,201601,201601
EUR,NH,NH,FLU_SW_EUR,FRA,France,02-03-98,1998,10,01-03-98,1998,9,NOTDEFINED,394,,,0,0,,,66,,,,66,,,,,,4,4,70,,5,,,,,,,,,,,"GROG NETWORK : 49 samples ; 27 Influenza A, 3 Influenza B
HOSPITALS SURVEILLANCE : 345 samples ; 39 Influenza A, 1 Influenza B

EPIDEMIC INFLUENZA A H3N2",FR,199810,199809
EUR,NH,NH,FLU_SW_EUR,FRA,France,19-10-09,2009,43,18-10-09,2009,43,NOTDEFINED,2830,1498,721,0,1,0,,61,,0,,783,,,0,,0,0,0,783,,3,,,,,,,,,,,,FR,200943,200943
EUR,NH,NH,FLU_SW_EUR,BEL,Belgium,04-08-14,2014,32,03-08-14,2014,32,NONSENTINEL,0,,0,0,0,,,0,,,,0,,,0,,0,0,0,,,,,,,,,,0,,,,,BE,201432,201432
EUR,NH,NH,FLU_SW_EUR,BEL,Belgium,14-09-98,1998,38,13-09-98,1998,37,NOTDEFINED,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,Two isolated cases of influenza B were observed in September in children less than 1 year of age.,BE,199838,199837
EUR,NH,NH,FLU_SW_EUR,BEL,Belgium,10-08-15,2015,33,09-08-15,2015,32,NONSENTINEL,0,,0,0,0,,,0,,,,0,,,0,,0,0,0,,,,,,,,,,0,,,,,BE,201533,201532
EUR,NH,NH,FLU_SW_EUR,FRA,France,27-02-23,2023,9,26-02-23,2023,9,NONSENTINEL,16940,,25,,26,,,272,,,,323,,,,,,721,721,1044,,,,,,,,,128,,,,,FR,202309,202309
EUR,NH,NH,FLU_SW_EUR,DEU,Germany,16-01-06,2006,3,15-01-06,2006,3,NOTDEFINED,47,,,0,0,,,0,,,,0,,,,,,0,0,,,2,,,,,,,,,,,,DE,200603,200603
EUR,NH,NH,FLU_SW_EUR,BEL,Belgium,16-06-08,2008,25,15-06-08,2008,25,NOTDEFINED,0,,,,,,,0,,,,0,,,,,,0,0,,,2,,,,,,,,,,,,BE,200825,200825
EUR,NH,NH,FLU_SW_EUR,BEL,Belgium,01-06-09,2009,23,31-05-09,2009,23,NOTDEFINED,14,14,,,,,,0,,,,0,,,,,,0,0,,,1,,,,,,,,,,,,BE,200923,200923
EUR,NH,NH,FLU_SW_EUR,DEU,Germany,18-11-19,2019,47,17-11-19,2019,47,NONSENTINEL,3,,0,0,0,,,0,,,,0,,,0,,0,0,0,,,,,,,,,,0,,,,,DE,201947,201947
EUR,NH,NH,FLU_SW_EUR,BEL,Belgium,10-10-16,2016,41,09-10-16,2016,41,NONSENTINEL,0,,0,0,0,,,0,,,,0,,,0,,0,0,0,,,,,,,,,,0,,,,,BE,201641,201641
EUR,NH,NH,FLU_SW_EUR,FRA,France,24-05-21,2021,21,23-05-21,2021,21,SENTINEL,10,,0,0,0,,,0,,,,0,,,0,,0,0,0,,,,,,,,,,0,,,,,FR,202121,202121
EUR,NH,NH,FLU_SW_EUR,BEL,Belgium,30-10-17,2017,44,29-10-17,2017,44,SENTINEL,3,,0,0,0,,,0,,,,0,,,0,,0,0,0,,,,,,,,,,0,,,,,BE,201744,201744
EUR,NH,NH,FLU_SW_EUR,BEL,Belgium,09-02-15,2015,7,08-02-15,2015,6,NONSENTINEL,12,,1,0,11,,,0,,,,12,,,0,,0,0,0,12,,,,,,,,,0,,,,,BE,201507,201506
EUR,NH,NH,FLU_SW_EUR,DEU,Germany,04-07-11,2011,27,03-07-11,2011,27,NOTDEFINED,5,,0,0,0,,,0,,,,0,,,0,,0,0,0,,,2,,,,,,,,,RSV,,,DE,201127,201127
EUR,NH,NH,FLU_SW_EUR,FRA,France,11-03-13,2013,11,10-03-13,2013,11,NOTDEFINED,2494,,46,0,111,,,106,,,,263,,,3,,17,182,202,465,,,,,,,,,54,,,,,FR,201311,201311
EUR,NH,NH,FLU_SW_EUR,BEL,Belgium,12-01-04,2004,3,11-01-04,2004,2,NOTDEFINED,9,,,,,,,2,,,,2,,,,,,,,2,,3,,,,,,,,,,,1.1% of ILI,BE,200403,200402
EUR,NH,NH,FLU_SW_EUR,DEU,Germany,22-01-24,2024,4,21-01-24,2024,4,SENTINEL,372,,173,,4,0,,,,,,177,,,5,,0,,5,182,,,,,,,,,37,,,,,DE,202404,202404
EUR,NH,NH,FLU_SW_EUR,FRA,France,16-05-16,2016,20,15-05-16,2016,20,NONSENTINEL,560,,1,0,0,,,8,,,,9,,,0,,0,2,2,11,,,,,,,,,7,,,,,FR,201620,201620
EUR,NH,NH,FLU_SW_EUR,BEL,Belgium,06-02-23,2023,6,05-02-23,2023,6,SENTINEL,21,,2,,,,,,,,,2,,,3,,,,3,5,,,,,,,,,0,,,,,BE,202306,202306
EUR,NH,NH,FLU_SW_EUR,BEL,Belgium,07-11-11,2011,45,06-11-11,2011,45,NOTDEFINED,11,,0,0,0,,,0,,,,0,,,0,,0,0,0,,,2,,,,,,,,,RSV,�����,�����,BE,201145,201145
EUR,NH,NH,FLU_SW_EUR,DEU,Germany,19-08-19,2019,34,18-08-19,2019,34,SENTINEL,8,,0,0,0,,,0,,,,0,,,0,,0,0,0,,,,,,,,,,0,,,,,DE,201934,201934
EUR,NH,NH,FLU_SW_EUR,BEL,Belgium,29-05-23,2023,22,28-05-23,2023,22,NONSENTINEL,,,,,,,,,,,,0,,,,,,,0,,,,,,,,,,40,,,,,BE,202322,202322
EUR,NH,NH,FLU_SW_EUR,BEL,Belgium,19-03-18,2018,12,18-03-18,2018,12,SENTINEL,29,,4,0,3,,,1,,,,8,,,9,,0,1,10,18,,,,,,,,,0,,,,,BE,201812,201812
EUR,NH,NH,FLU_SW_EUR,FRA,France,08-02-21,2021,6,07-02-21,2021,6,SENTINEL,26,,0,0,0,,,0,,,,0,,,0,,0,0,0,,,,,,,,,,2,,,,,FR,202106,202106
EUR,NH,NH,FLU_SW_EUR,FRA,France,16-01-17,2017,3,15-01-17,2017,3,NONSENTINEL,6891,,3,0,193,,,1160,,,,1356,,,0,,0,4,4,1360,,,,,,,,,591,,,,,FR,201703,201703
EUR,NH,NH,FLU_SW_EUR,DEU,Germany,02-10-06,2006,40,01-10-06,2006,40,NOTDEFINED,,,,0,0,,,0,,,,0,,,,,,0,0,,,2,,,,,,,,,,,,DE,200640,200640
EUR,NH,NH,FLU_SW_EUR,FRA,France,04-07-22,2022,27,03-07-22,2022,27,SENTINEL,4,,0,0,0,,,0,,,,0,,,0,,0,0,0,,,,,,,,,,0,,,,,FR,202227,202227
EUR,NH,NH,FLU_SW_EUR,DEU,Germany,04-02-02,2002,6,03-02-02,2002,6,NOTDEFINED,127,,,,12,,,11,,,,23,,,,,,17,17,40,,5,,,,,,,,,,,"Level of ARI per 100 consultations is at 11.9% in paediatrics ND 8.7% in GP which is slightly above that of the expected for the time of the year.  Other indicators are slightly elevated and rate of positives, PCR and culture, was around 30%. Morbidity in adults 16-60 yrs is increasing while remains rather unchanged in children.  A local to regional activity of A(H3N2) and B can be assumed.",DE,200206,200206
EUR,NH,NH,FLU_SW_EUR,BEL,Belgium,03-10-16,2016,40,02-10-16,2016,40,SENTINEL,7,,0,0,0,,,0,,,,0,,,0,,0,0,0,,,,,,,,,,0,,,,,BE,201640,201640
EUR,NH,NH,FLU_SW_EUR,DEU,Germany,24-11-97,1997,48,23-11-97,1997,48,NOTDEFINED,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,DE,199748,199748
EUR,NH,NH,FLU_SW_EUR,FRA,France,02-12-13,2013,49,01-12-13,2013,49,NOTDEFINED,2008,,3,0,6,,,8,,,,17,,,0,,0,1,1,18,,,,,,,,,555,,,,,FR,201349,201349
EUR,NH,NH,FLU_SW_EUR,FRA,France,04-02-13,2013,6,03-02-13,2013,6,NOTDEFINED,4201,,230,0,135,,,267,,,,632,,,8,,124,594,726,1358,,,,,,,,,175,,,,,FR,201306,201306
EUR,NH,NH,FLU_SW_EUR,DEU,Germany,14-01-02,2002,3,13-01-02,2002,3,NOTDEFINED,99,,,0,7,,,0,,,,7,,,,,,12,12,19,,3,,,,,,,,,,,"We see a significant increase in the number and proportion of identifications. Further we observe an increasing number of states reporting the identification of influenza viruses. However, this activity is not (yet) reflected in the indices of morbidity. ",DE,200203,200203
EUR,NH,NH,FLU_SW_EUR,DEU,Germany,30-05-16,2016,22,29-05-16,2016,22,NONSENTINEL,0,,0,0,0,,,0,,,,0,,,0,,0,0,0,,,,,,,,,,1,,,,,DE,201622,201622
EUR,NH,NH,FLU_SW_EUR,DEU,Germany,01-05-17,2017,18,30-04-17,2017,18,NONSENTINEL,20,,0,0,0,,,0,,,,0,,,0,,0,0,0,,,,,,,,,,4,,,,,DE,201718,201718
EUR,NH,NH,FLU_SW_EUR,DEU,Germany,27-01-20,2020,5,26-01-20,2020,5,SENTINEL,241,,44,0,58,0,,,,,,102,,,12,,1,,13,115,,,,,,,,,13,,,,,DE,202005,202005
EUR,NH,NH,FLU_SW_EUR,BEL,Belgium,29-08-22,2022,35,28-08-22,2022,35,NONSENTINEL,,,,,,,,,,,,0,,,,,,,0,,,,,,,,,,15,,,,,BE,202235,202235
EUR,NH,NH,FLU_SW_EUR,DEU,Germany,17-02-14,2014,8,16-02-14,2014,8,NONSENTINEL,0,,5,0,4,,,0,,,,9,,,0,,0,0,0,9,,,,,,,,,31,,,,,DE,201408,201408
EUR,NH,NH,FLU_SW_EUR,BEL,Belgium,13-05-24,2024,20,12-05-24,2024,20,NONSENTINEL,,,,,,,,,,,,0,,,,,,,0,,,,,,,,,,8,,,,,BE,202420,202420
EUR,NH,NH,FLU_SW_EUR,FRA,France,29-12-14,2015,1,28-12-14,2014,53,NONSENTINEL,2635,,17,0,26,,,138,,,,181,,,0,,0,28,28,209,,,,,,,,,770,,,,,FR,201501,201453
EUR,NH,NH,FLU_SW_EUR,FRA,France,06-04-20,2020,15,05-04-20,2020,15,NONSENTINEL,4283,,0,0,0,,,2,,,,2,,,,,,3,3,5,,,,,,,,,11,,,,,FR,202015,202015
EUR,NH,NH,FLU_SW_EUR,DEU,Germany,12-06-23,2023,24,11-06-23,2023,24,NONSENTINEL,10,,0,,0,0,,,,,,0,,,0,,0,,0,,,,,,,,,,0,,,,,DE,202324,202324
EUR,NH,NH,FLU_SW_EUR,DEU,Germany,20-07-09,2009,30,19-07-09,2009,30,NOTDEFINED,63,,110,1,0,,,0,,,,111,,,0,,0,0,0,111,,2,,,,,,,,,RSV,,,DE,200930,200930
EUR,NH,NH,FLU_SW_EUR,BEL,Belgium,17-01-22,2022,3,16-01-22,2022,3,SENTINEL,8,,0,,0,,,,,,,0,,,0,,0,,0,,,,,,,,,,1,,,,,BE,202203,202203
EUR,NH,NH,FLU_SW_EUR,FRA,France,04-03-24,2024,10,03-03-24,2024,10,SENTINEL,77,,6,,4,,,0,,,,10,,,0,,0,0,0,10,,,,,,,,,0,,,,,FR,202410,202410
EUR,NH,NH,FLU_SW_EUR,DEU,Germany,31-07-17,2017,31,30-07-17,2017,31,SENTINEL,23,,0,0,1,,,0,,,,1,,,0,,0,0,0,1,,,,,,,,,0,,,,,DE,201731,201731
EUR,NH,NH,FLU_SW_EUR,BEL,Belgium,07-08-23,2023,32,06-08-23,2023,32,SENTINEL,2,,0,,0,,,,,,,0,,,0,,0,,0,,,,,,,,,,0,,,,,BE,202332,202332
EUR,NH,NH,FLU_SW_EUR,BEL,Belgium,09-10-23,2023,41,08-10-23,2023,41,NONSENTINEL,,,,,,,,,,,,0,,,,,,,0,,,,,,,,,,409,,,,,BE,202341,202341
EUR,NH,NH,FLU_SW_EUR,BEL,Belgium,08-01-18,2018,2,07-01-18,2018,2,NONSENTINEL,0,,0,0,0,,,0,,,,0,,,0,,0,0,0,,,,,,,,,,0,,,,,BE,201802,201802
EUR,NH,NH,FLU_SW_EUR,FRA,France,12-03-18,2018,11,11-03-18,2018,11,SENTINEL,94,,11,0,11,,,0,,,,22,,,0,,40,0,40,62,,,,,,,,,0,,,,,FR,201811,201811
EUR,NH,NH,FLU_SW_EUR,DEU,Germany,03-02-20,2020,6,02-02-20,2020,6,SENTINEL,219,,32,0,51,0,,,,,,83,,,10,,0,,10,93,,,,,,,,,18,,,,,DE,202006,202006
EUR,NH,NH,FLU_SW_EUR,DEU,Germany,30-03-15,2015,14,29-03-15,2015,13,NONSENTINEL,0,,1,0,2,,,0,,,,3,,,0,,3,0,3,6,,,,,,,,,8,,,,,DE,201514,201513
EUR,NH,NH,FLU_SW_EUR,DEU,Germany,03-01-11,2011,1,02-01-11,2011,1,NOTDEFINED,112,,54,0,1,,,0,,,,55,,,13,,1,0,14,69,,4,,,,,,,,,RSV,,,DE,201101,201101
EUR,NH,NH,FLU_SW_EUR,FRA,France,17-06-24,2024,25,16-06-24,2024,25,SENTINEL,6,,0,,0,,,0,,,,0,,,0,,0,0,0,,,,,,,,,,0,,,,,FR,202425,202425
EUR,NH,NH,FLU_SW_EUR,DEU,Germany,23-10-17,2017,43,22-10-17,2017,43,NONSENTINEL,4,,0,0,0,,,0,,,,0,,,0,,0,0,0,,,,,,,,,,0,,,,,DE,201743,201743
EUR,NH,NH,FLU_SW_EUR,FRA,France,13-03-06,2006,11,12-03-06,2006,11,NOTDEFINED,786,,,10,,,,23,,,,33,,,,,,37,37,70,,5,,,,,,,,,,,"GROG networks : 101 samples.
Hospitals surveillance : 685 samples.",FR,200611,200611
EUR,NH,NH,FLU_SW_EUR,BEL,Belgium,09-02-09,2009,7,08-02-09,2009,7,NOTDEFINED,67,67,,1,39,,,3,,,,43,,,,,,4,4,47,,3,,,,,,,,,,,,BE,200907,200907
EUR,NH,NH,FLU_SW_EUR,DEU,Germany,01-05-23,2023,18,30-04-23,2023,18,NONSENTINEL,9,,0,,0,0,,,,,,0,,,0,,0,,0,,,,,,,,,,0,,,,,DE,202318,202318
EUR,NH,NH,FLU_SW_EUR,DEU,Germany,23-05-22,2022,21,22-05-22,2022,21,NONSENTINEL,5,,0,0,5,0,,,,,,5,,,0,,0,,0,5,,,,,,,,,0,,,,,DE,202221,202221
EUR,NH,NH,FLU_SW_EUR,FRA,France,10-02-20,2020,7,09-02-20,2020,7,NONSENTINEL,8447,,330,0,28,,,882,,,,1240,,,,,,791,791,2031,,,,,,,,,365,,,,,FR,202007,202007
EUR,NH,NH,FLU_SW_EUR,BEL,Belgium,02-04-18,2018,14,01-04-18,2018,14,NONSENTINEL,0,,0,0,0,,,0,,,,0,,,0,,0,0,0,,,,,,,,,,0,,,,,BE,201814,201814
EUR,NH,NH,FLU_SW_EUR,FRA,France,03-06-24,2024,23,02-06-24,2024,23,SENTINEL,6,,0,,0,,,0,,,,0,,,0,,0,0,0,,,,,,,,,,0,,,,,FR,202423,202423
EUR,NH,NH,FLU_SW_EUR,DEU,Germany,30-11-20,2020,49,29-11-20,2020,49,NONSENTINEL,2,,0,0,0,0,,,,,,0,,,0,,0,,0,,,,,,,,,,0,,,,,DE,202049,202049
EUR,NH,NH,FLU_SW_EUR,FRA,France,01-02-21,2021,5,31-01-21,2021,5,SENTINEL,34,,0,0,0,,,0,,,,0,,,0,,0,0,0,,,,,,,,,,7,,,,,FR,202105,202105
EUR,NH,NH,FLU_SW_EUR,DEU,Germany,04-12-23,2023,49,03-12-23,2023,49,NONSENTINEL,51,,7,,0,0,,,,,,7,,,0,,0,,0,7,,,,,,,,,6,,,,,DE,202349,202349
EUR,NH,NH,FLU_SW_EUR,BEL,Belgium,14-01-02,2002,3,13-01-02,2002,3,NOTDEFINED,,,,,,,,151,,,,151,,,,,,2,2,153,,6,,,,,,,,,,,widespread activity,BE,200203,200203
EUR,NH,NH,FLU_SW_EUR,DEU,Germany,22-04-19,2019,17,21-04-19,2019,17,NONSENTINEL,3,,0,0,1,,,0,,,,1,,,0,,0,0,0,1,,,,,,,,,1,,,,,DE,201917,201917
EUR,NH,NH,FLU_SW_EUR,DEU,Germany,25-04-22,2022,17,24-04-22,2022,17,SENTINEL,140,,0,0,29,0,,,,,,29,,,0,,0,,0,29,,,,,,,,,0,,,,,DE,202217,202217
EUR,NH,NH,FLU_SW_EUR,FRA,France,26-10-15,2015,44,25-10-15,2015,43,NONSENTINEL,1855,,0,0,0,,,12,,,,12,,,0,,0,2,2,14,,,,,,,,,208,,,,,FR,201544,201543
EUR,NH,NH,FLU_SW_EUR,DEU,Germany,21-09-15,2015,39,20-09-15,2015,38,SENTINEL,38,,0,0,0,,,0,,,,0,,,0,,0,0,0,,,,,,,,,,0,,,,,DE,201539,201538
EUR,NH,NH,FLU_SW_EUR,DEU,Germany,24-12-12,2012,52,23-12-12,2012,52,NOTDEFINED,26,,4,0,10,,,0,,,,14,,,0,,1,0,1,15,,4,,,,,,,24,,RSV,,,DE,201252,201252
EUR,NH,NH,FLU_SW_EUR,BEL,Belgium,18-08-14,2014,34,17-08-14,2014,34,SENTINEL,0,,0,0,0,,,0,,,,0,,,0,,0,0,0,,,,,,,,,,0,,,,,BE,201434,201434
EUR,NH,NH,FLU_SW_EUR,DEU,Germany,12-04-21,2021,15,11-04-21,2021,15,SENTINEL,149,,0,0,0,0,,,,,,0,,,0,,0,,0,,,,,,,,,,0,,,,,DE,202115,202115
EUR,NH,NH,FLU_SW_EUR,BEL,Belgium,06-06-22,2022,23,05-06-22,2022,23,NONSENTINEL,,,,,,,,,,,,0,,,,,,,0,,,,,,,,,,194,,,,,BE,202223,202223
EUR,NH,NH,FLU_SW_EUR,FRA,France,08-11-10,2010,45,07-11-10,2010,45,NOTDEFINED,902,369,3,0,2,0,,2,,0,,7,,,3,,0,1,4,11,,3,,,,,,,,,RSV,,,FR,201045,201045
EUR,NH,NH,FLU_SW_EUR,FRA,France,01-02-10,2010,5,31-01-10,2010,5,NOTDEFINED,2117,989,26,0,0,0,,14,,0,,40,,,0,,0,1,1,41,,3,,,,,,,,,,,,FR,201005,201005
EUR,NH,NH,FLU_SW_EUR,FRA,France,21-03-11,2011,12,20-03-11,2011,12,NOTDEFINED,1505,807,7,0,1,0,,10,,0,,18,,,1,,1,33,35,53,,3,,,,,,,,,RSV,,,FR,201112,201112
EUR,NH,NH,FLU_SW_EUR,FRA,France,14-02-11,2011,7,13-02-11,2011,7,NOTDEFINED,3390,1973,180,0,5,0,,147,,0,,332,,,6,,1,299,306,638,,6,,,,,,,,,RSV,,,FR,201107,201107
EUR,NH,NH,FLU_SW_EUR,DEU,Germany,08-03-99,1999,10,07-03-99,1999,10,NOTDEFINED,,,,,26,,,5,,,,31,,,,,,37,37,68,,4,,,,,,,,,,,,DE,199910,199910
EUR,NH,NH,FLU_SW_EUR,DEU,Germany,26-01-09,2009,5,25-01-09,2009,5,NOTDEFINED,433,,,27,207,,,0,,,,234,,,41,,0,0,41,275,,6,,,,,,,,,,,,DE,200905,200905
EUR,NH,NH,FLU_SW_EUR,DEU,Germany,28-02-05,2005,9,27-02-05,2005,9,NOTDEFINED,499,,,45,158,,,1,,,,204,,,,,,31,31,235,,6,,,,,,,,,,,,DE,200509,200509
EUR,NH,NH,FLU_SW_EUR,FRA,France,21-12-15,2015,52,20-12-15,2015,51,SENTINEL,62,,2,0,2,,,0,,,,4,,,3,,0,1,4,8,,,,,,,,,14,,,,,FR,201552,201551
EUR,NH,NH,FLU_SW_EUR,FRA,France,27-02-17,2017,9,26-02-17,2017,9,NONSENTINEL,2770,,1,0,30,,,87,,,,118,,,0,,0,8,8,126,,,,,,,,,223,,,,,FR,201709,201709
EUR,NH,NH,FLU_SW_EUR,DEU,Germany,11-10-21,2021,41,10-10-21,2021,41,SENTINEL,191,,0,0,1,0,,,,,,1,,,0,,0,,0,1,,,,,,,,,64,,,,,DE,202141,202141
EUR,NH,NH,FLU_SW_EUR,FRA,France,29-08-11,2011,35,28-08-11,2011,35,NOTDEFINED,375,181,0,0,0,0,,0,,0,,0,,,0,,0,0,0,,,2,,,,,,,,,RSV,,,FR,201135,201135
EUR,NH,NH,FLU_SW_EUR,BEL,Belgium,26-10-15,2015,44,25-10-15,2015,43,SENTINEL,9,,0,0,0,,,1,,,,1,,,2,,0,0,2,3,,,,,,,,,0,,,,,BE,201544,201543
EUR,NH,NH,FLU_SW_EUR,FRA,France,31-01-00,2000,5,30-01-00,2000,5,NOTDEFINED,1223,,,0,,,,14,,,,14,,,,,,,,14,,5,,,,,,,,,,,Influenza virus A circulation has gone down towards sporadic level in different regions of the north.  ,FR,200005,200005
EUR,NH,NH,FLU_SW_EUR,FRA,France,23-01-23,2023,4,22-01-23,2023,4,SENTINEL,149,,8,,24,,,0,,,,32,,,16,,0,20,36,68,,,,,,,,,4,,,,,FR,202304,202304
EUR,NH,NH,FLU_SW_EUR,DEU,Germany,28-09-98,1998,40,27-09-98,1998,39,NOTDEFINED,,,,,,,,,,,,,,,,,,1,1,1,,3,,,,,,,,,,,One report of antigen detection in Sachsen.,DE,199840,199839
EUR,NH,NH,FLU_SW_EUR,FRA,France,12-06-23,2023,24,11-06-23,2023,24,NONSENTINEL,5063,,3,,0,,,12,,,,15,,,,,,7,7,22,,,,,,,,,10,,,,,FR,202324,202324
